"MNC";18;False;False;1;0;1;1
32;154;268;8;21;8;0
33;198;28;12;24;15;0
34;60;253;9;12;12;0
35;36;2;15;24;18;0
36;87;2;15;24;18;0
37;2;28;12;24;15;0
38;70;2;15;24;18;0
39;94;253;3;12;6;0
40;228;184;9;24;12;0
41;24;210;9;24;12;0
42;53;2;15;24;18;0
43;104;2;15;24;18;0
44;52;250;6;24;9;0
45;71;253;6;15;9;0
46;47;250;3;24;6;0
47;156;80;12;24;15;0
48;170;132;12;24;15;0
49;46;210;9;24;12;0
50;16;28;12;24;15;0
51;114;54;12;24;15;0
52;72;28;12;24;15;0
53;214;2;12;24;15;0
54;142;106;12;24;15;0
55;100;106;12;24;15;0
56;170;80;12;24;15;0
57;114;80;12;24;15;0
58;89;253;3;18;1;0
59;79;250;3;24;6;0
60;35;210;9;24;12;0
61;159;187;12;18;15;0
62;206;184;9;24;12;0
63;114;158;12;24;15;0
64;138;2;15;24;18;0
65;58;184;12;24;15;0
66;184;28;12;24;15;0
67;184;132;12;24;15;0
68;44;106;12;24;15;0
69;44;28;12;24;15;0
70;212;106;12;24;15;0
71;2;158;12;24;15;0
72;72;184;12;24;15;0
73;240;28;12;24;15;0
74;198;54;12;24;15;0
75;86;158;12;24;15;0
76;30;184;12;24;15;0
77;155;2;15;24;18;0
78;58;28;12;24;15;0
79;44;158;12;24;15;0
80;72;158;12;24;15;0
81;170;158;12;24;15;0
82;226;80;12;24;15;0
83;86;28;12;24;15;0
84;128;54;12;24;15;0
85;128;158;12;24;15;0
86;142;158;12;24;15;0
87;2;2;15;24;18;0
88;86;54;12;24;15;0
89;212;80;12;24;15;0
90;30;28;12;24;15;0
91;239;184;9;24;12;0
92;114;132;12;24;15;0
93;217;184;9;24;12;0
94;142;187;15;15;18;0
95;2;54;12;24;15;0
96;99;253;3;12;6;0
97;198;132;12;24;15;0
98;142;80;12;24;15;0
99;212;132;12;24;15;0
100;100;132;12;24;15;0
101;212;54;12;24;15;0
102;58;54;12;24;15;0
103;226;54;12;24;15;0
104;200;2;12;24;15;0
105;58;158;12;24;15;0
106;240;132;12;24;15;0
107;198;80;12;24;15;0
108;184;158;12;24;15;0
109;19;2;15;24;18;0
110;16;54;12;24;15;0
111;172;2;12;24;15;0
112;228;2;12;24;15;0
113;226;158;12;24;15;0
114;128;80;12;24;15;0
115;72;80;12;24;15;0
