"DotumChe";12;True;False;1;0;1;1
32;13;1;9;16;9;0
33;218;35;2;14;9;4
34;26;110;5;6;9;3
35;68;19;9;14;9;0
36;214;1;8;15;9;1
37;132;19;8;14;9;1
38;211;19;8;14;9;1
39;32;110;2;6;9;4
40;202;1;5;15;9;3
41;208;1;5;15;9;1
42;192;95;6;10;9;1
43;165;95;8;11;9;1
44;163;1;3;15;9;3
45;7;110;8;8;9;1
46;55;35;2;14;9;4
47;92;95;7;13;9;1
48;174;65;8;14;9;1
49;183;65;4;14;9;2
50;188;65;7;14;9;1
51;196;65;7;14;9;1
52;204;65;8;14;9;1
53;213;65;7;14;9;1
54;221;65;7;14;9;1
55;229;65;7;14;9;1
56;237;65;7;14;9;1
57;245;65;7;14;9;1
58;162;95;2;12;9;3
59;253;65;3;14;9;3
60;183;95;8;11;9;1
61;209;95;8;10;9;1
62;174;95;8;11;9;1
63;1;80;8;14;9;1
64;10;80;8;14;9;1
65;19;80;8;14;9;1
66;28;80;8;14;9;1
67;37;80;8;14;9;1
68;46;80;8;14;9;1
69;55;80;8;14;9;1
70;64;80;8;14;9;1
71;73;80;8;14;9;1
72;82;80;8;14;9;1
73;171;65;2;14;9;4
74;91;80;6;14;9;1
75;162;65;8;14;9;1
76;151;65;7;14;9;1
77;215;50;8;14;9;1
78;224;50;8;14;9;1
79;233;50;8;14;9;1
80;242;50;8;14;9;1
81;223;1;8;15;9;1
82;1;65;8;14;9;1
83;10;65;8;14;9;1
84;19;65;8;14;9;1
85;28;65;8;14;9;1
86;37;65;8;14;9;1
87;46;65;8;14;9;1
88;55;65;8;14;9;1
89;64;65;8;14;9;1
90;73;65;7;14;9;1
91;14;19;5;15;9;3
92;81;65;9;14;9;0
93;20;19;5;15;9;1
94;40;110;6;4;9;2
95;109;1;8;15;9;1
96;47;110;4;4;9;2
97;91;65;8;14;9;1
98;100;65;8;14;9;1
99;109;65;8;14;9;1
100;118;65;8;14;9;1
101;106;80;8;14;9;1
102;135;65;7;14;9;1
103;6;19;7;15;9;1
104;143;65;7;14;9;1
105;159;65;2;14;9;4
106;1;19;4;15;9;2
107;98;80;7;14;9;1
108;124;80;2;14;9;4
109;115;80;8;14;9;1
110;84;95;7;14;9;1
111;26;95;8;14;9;1
112;167;1;8;15;9;1
113;232;1;8;15;9;1
114;60;95;6;14;9;2
115;76;95;7;14;9;1
116;52;95;7;14;9;1
117;35;95;7;14;9;1
118;43;95;8;14;9;1
119;67;95;8;14;9;1
120;9;95;8;14;9;1
121;176;1;8;15;9;1
122;1;95;7;14;9;1
123;185;1;6;15;9;2
124;192;1;2;15;9;4
125;195;1;6;15;9;1
126;235;95;8;8;9;1
127;127;80;7;14;9;1
128;135;80;7;14;9;1
129;143;80;7;14;9;1
130;151;80;7;14;9;1
131;159;80;7;14;9;1
132;167;80;7;14;9;1
133;175;80;7;14;9;1
134;183;80;7;14;9;1
135;191;80;7;14;9;1
136;199;80;7;14;9;1
137;207;80;7;14;9;1
138;215;80;7;14;9;1
139;223;80;7;14;9;1
140;231;80;7;14;9;1
141;239;80;7;14;9;1
142;247;80;7;14;9;1
143;18;95;7;14;9;1
144;207;50;7;14;9;1
145;127;65;7;14;9;1
146;191;50;7;14;9;1
147;155;19;7;14;9;1
148;163;19;7;14;9;1
149;171;19;7;14;9;1
150;199;50;7;14;9;1
151;179;19;7;14;9;1
152;187;19;7;14;9;1
153;195;19;7;14;9;1
154;203;19;7;14;9;1
155;220;19;7;14;9;1
156;38;35;7;14;9;1
157;228;19;7;14;9;1
158;236;19;7;14;9;1
159;244;19;7;14;9;1
160;81;1;9;16;9;0
161;10;1;2;17;9;4
162;1;35;8;14;9;1
163;10;35;8;14;9;1
164;113;95;8;13;17;5
165;19;35;8;14;9;1
166;78;1;2;16;9;4
167;71;1;6;16;17;6
168;58;110;5;3;17;6
169;28;35;9;14;9;0
170;225;95;6;9;17;2
171;143;95;7;12;9;1
172;199;95;9;10;9;0
173;1;110;5;8;17;6
174;141;19;13;14;17;2
175;52;110;5;3;9;2
176;20;110;5;6;17;2
177;100;95;12;13;17;3
178;250;95;5;8;17;2
179;244;95;5;8;17;2
180;35;110;4;5;17;7
181;63;1;7;16;9;1
182;54;1;8;16;17;4
183;232;95;2;8;17;7
